gamma,time,basin
0.2022022022022022,261,2
0.2032032032032032,260,2
0.2042042042042042,260,2
0.20520520520520522,260,2
0.2062062062062062,260,2
0.2072072072072072,259,2
0.2082082082082082,259,2
0.2092092092092092,259,2
0.21021021021021022,259,2
0.2112112112112112,258,2
0.2122122122122122,258,2
0.2132132132132132,258,2
0.21421421421421422,257,2
0.21521521521521522,257,2
0.21621621621621623,257,2
0.2172172172172172,257,2
0.2182182182182182,256,2
0.21921921921921922,256,2
0.22022022022022023,256,2
0.22122122122122123,256,2
0.2222222222222222,255,2
0.22322322322322322,255,2
0.22422422422422422,255,2
0.22522522522522523,255,2
0.22622622622622623,254,2
0.2272272272272272,254,2
0.22822822822822822,254,2
0.22922922922922923,254,2
0.23023023023023023,254,2
0.23123123123123124,253,2
0.23223223223223222,253,2
0.23323323323323322,253,2
0.23423423423423423,253,2
0.23523523523523523,252,2
0.23623623623623624,252,2
0.23723723723723725,252,2
0.23823823823823823,252,2
0.23923923923923923,251,2
0.24024024024024024,251,2
0.24124124124124124,251,2
0.24224224224224225,251,2
0.24324324324324323,250,2
0.24424424424424424,250,2
0.24524524524524524,250,2
0.24624624624624625,250,2
0.24724724724724725,250,2
0.24824824824824826,249,2
0.24924924924924924,249,2
0.2502502502502503,249,2
0.25125125125125125,249,2
0.25225225225225223,248,2
0.25325325325325326,248,2
0.25425425425425424,248,2
0.2552552552552553,248,2
0.25625625625625625,248,2
0.25725725725725723,247,2
0.25825825825825827,247,2
0.25925925925925924,247,2
0.2602602602602603,247,2
0.26126126126126126,246,2
0.26226226226226224,246,2
0.26326326326326327,246,2
0.26426426426426425,246,2
0.2652652652652653,246,2
0.26626626626626626,245,2
0.26726726726726724,245,2
0.2682682682682683,245,2
0.26926926926926925,245,2
0.2702702702702703,245,2
0.27127127127127126,244,2
0.27227227227227224,244,2
0.2732732732732733,244,2
0.27427427427427425,244,2
0.2752752752752753,243,2
0.27627627627627627,243,2
0.2772772772772773,243,2
0.2782782782782783,243,2
0.27927927927927926,243,2
0.2802802802802803,242,2
0.28128128128128127,242,2
0.2822822822822823,242,2
0.2832832832832833,242,2
0.28428428428428426,242,2
0.2852852852852853,241,2
0.2862862862862863,241,2
0.2872872872872873,241,2
0.2882882882882883,241,2
0.28928928928928926,241,2
0.2902902902902903,240,2
0.2912912912912913,240,2
0.2922922922922923,240,2
0.2932932932932933,240,2
0.29429429429429427,240,2
0.2952952952952953,240,2
0.2962962962962963,239,2
0.2972972972972973,239,2
0.2982982982982983,239,2
0.29929929929929927,239,2
0.3003003003003003,239,2
0.3013013013013013,238,2
0.3023023023023023,238,2
0.3033033033033033,238,2
0.30430430430430433,238,2
0.3053053053053053,238,2
0.3063063063063063,237,2
0.3073073073073073,237,2
0.3083083083083083,237,2
0.30930930930930933,237,2
0.3103103103103103,237,2
0.3113113113113113,237,2
0.3123123123123123,236,2
0.3133133133133133,236,2
0.31431431431431434,236,2
0.3153153153153153,236,2
0.3163163163163163,236,2
0.3173173173173173,235,2
0.3183183183183183,235,2
0.31931931931931934,235,2
0.3203203203203203,235,2
0.3213213213213213,235,2
0.32232232232232233,235,2
0.3233233233233233,234,2
0.32432432432432434,234,2
0.3253253253253253,234,2
0.3263263263263263,234,2
0.32732732732732733,234,2
0.3283283283283283,234,2
0.32932932932932935,233,2
0.3303303303303303,233,2
0.3313313313313313,233,2
0.33233233233233234,233,2
0.3333333333333333,233,2
0.33433433433433435,233,2
0.3353353353353353,232,2
0.3363363363363363,232,2
0.33733733733733734,232,2
0.3383383383383383,232,2
0.33933933933933935,232,2
0.34034034034034033,232,2
0.34134134134134136,231,2
0.34234234234234234,231,2
0.3433433433433433,231,2
0.34434434434434436,231,2
0.34534534534534533,231,2
0.34634634634634637,231,2
0.34734734734734735,230,2
0.3483483483483483,230,2
0.34934934934934936,230,2
0.35035035035035034,230,2
0.35135135135135137,230,2
0.35235235235235235,230,2
0.3533533533533533,229,2
0.35435435435435436,229,2
0.35535535535535534,229,2
0.3563563563563564,229,2
0.35735735735735735,229,2
0.35835835835835833,229,2
0.35935935935935936,229,2
0.36036036036036034,228,2
0.3613613613613614,228,2
0.36236236236236236,228,2
0.36336336336336333,228,2
0.36436436436436437,228,2
0.36536536536536535,228,2
0.3663663663663664,227,2
0.36736736736736736,227,2
0.3683683683683684,227,2
0.36936936936936937,227,2
0.37037037037037035,227,2
0.3713713713713714,227,2
0.37237237237237236,227,2
0.3733733733733734,226,2
0.3743743743743744,226,2
0.37537537537537535,226,2
0.3763763763763764,226,2
0.37737737737737737,226,2
0.3783783783783784,226,2
0.3793793793793794,226,2
0.38038038038038036,225,2
0.3813813813813814,225,2
0.38238238238238237,225,2
0.3833833833833834,225,2
0.3843843843843844,225,2
0.38538538538538536,225,2
0.3863863863863864,225,2
0.38738738738738737,224,2
0.3883883883883884,224,2
0.3893893893893894,224,2
0.39039039039039036,224,2
0.3913913913913914,224,2
0.3923923923923924,224,2
